student_id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score,attendance_level,study_efficiency
217,17,0,4,3.97,86.7,1,4.9,1,1,1,2,62.6,High,0.810204081632653
218,17,2,4,0.15,75.5,1,5.8,0,4,1,0,27.7,Medium,0.02586206896551724
219,20,1,6,1.34,76.6,1,7.9,0,4,1,1,55.9,Medium,0.16962025316455698
220,24,0,2,2.69,92.6,1,7.1,0,2,0,2,57.2,High,0.3788732394366197
221,18,0,6,4.81,51.2,1,5.7,1,2,0,0,69.9,Low,0.843859649122807
222,20,0,6,6.34,71.9,1,9.8,0,2,2,1,84.6,Medium,0.6469387755102041
223,22,0,6,7.68,82.7,1,7.8,0,0,1,2,100.0,High,0.9846153846153846
224,18,1,0,4.8,58.5,1,5.6,1,2,1,2,61.6,Low,0.8571428571428572
225,22,2,4,5.83,53.2,1,4.3,0,0,0,2,59.6,Low,1.3558139534883722
226,19,1,0,4.97,47.7,1,5.4,2,2,1,1,37.9,Low,0.9203703703703703
227,23,0,5,3.44,55.8,1,6.9,2,2,2,2,40.8,Low,0.49855072463768113
228,21,2,0,4.88,80.0,1,5.2,2,3,0,1,73.6,Medium,0.9384615384615385
229,21,0,0,3.21,76.9,1,5.9,2,1,0,1,52.1,Medium,0.5440677966101695
230,18,1,4,3.63,50.3,1,9.9,0,1,0,0,65.9,Low,0.36666666666666664
231,20,1,2,7.29,69.5,1,9.6,1,0,0,1,100.0,Medium,0.759375
232,23,0,0,4.51,52.8,1,7.1,1,1,2,0,70.6,Low,0.6352112676056338
233,17,0,1,0.8,96.2,1,9.0,2,1,0,2,61.6,High,0.08888888888888889
234,23,2,0,4.19,83.4,0,5.7,0,2,0,1,74.8,High,0.7350877192982457
235,20,1,3,7.63,50.4,0,8.5,1,3,1,2,68.6,Low,0.8976470588235294
236,22,0,2,0.8,57.4,1,9.4,0,1,1,2,57.4,Low,0.0851063829787234
237,22,1,6,7.77,91.2,1,9.0,0,0,2,0,95.5,High,0.8633333333333333
238,20,0,0,7.9,73.4,1,7.8,2,4,2,2,89.0,Medium,1.012820512820513
239,19,0,0,4.49,61.4,1,9.0,2,0,1,0,72.6,Medium,0.49888888888888894
240,22,1,1,2.66,75.9,1,4.1,1,4,0,1,44.3,Medium,0.6487804878048782
241,18,1,6,0.08,63.4,0,6.3,2,0,1,0,19.599,Medium,0.012698412698412698
242,21,1,5,0.12,94.7,1,8.6,0,2,0,2,61.2,High,0.013953488372093023
243,17,0,3,3.1,92.4,1,6.4,2,2,0,0,54.6,High,0.484375
244,22,1,0,6.26,49.6,1,5.1,1,0,0,2,95.6,Low,1.227450980392157
245,22,1,3,7.54,80.6,1,8.6,1,2,2,2,90.6,High,0.8767441860465117
246,17,1,6,1.24,90.3,1,7.7,0,2,2,0,67.1,High,0.16103896103896104
247,23,1,1,3.9,52.7,1,7.1,0,2,2,2,68.4,Low,0.5492957746478874
248,20,1,4,4.01,92.3,0,6.0,1,0,2,1,83.4,High,0.6683333333333333
249,23,0,6,3.04,65.2,0,4.6,0,0,1,2,53.2,Medium,0.6608695652173914
250,17,1,5,4.32,58.5,1,9.2,0,0,1,0,71.4,Low,0.4695652173913044
251,18,1,6,7.4,99.0,1,5.2,1,4,1,2,86.2,High,1.4230769230769231
252,20,1,6,3.51,81.3,0,7.8,2,1,2,1,55.4,High,0.44999999999999996
253,18,1,2,1.1,57.4,0,5.8,2,1,2,0,19.8,Low,0.18965517241379312
254,19,1,1,5.32,71.8,1,5.4,0,1,2,2,75.7,Medium,0.9851851851851852
255,22,1,1,0.25,78.6,1,6.7,0,3,1,0,31.9,Medium,0.03731343283582089
256,18,2,3,7.52,82.7,0,8.4,0,1,1,0,90.7,High,0.8952380952380952
257,22,2,0,7.52,52.6,1,5.4,0,3,0,1,81.7,Low,1.3925925925925924
258,17,1,2,0.74,77.0,1,4.6,1,1,1,2,27.6,Medium,0.16086956521739132
259,18,1,3,4.41,90.8,1,6.9,0,1,1,1,70.6,High,0.6391304347826087
260,21,0,2,6.38,88.2,1,7.3,1,4,2,0,92.1,High,0.873972602739726
261,23,2,0,3.72,57.7,1,7.9,0,0,2,0,64.6,Low,0.4708860759493671
262,18,2,0,3.83,98.2,1,6.7,1,4,0,0,80.7,High,0.5716417910447761
263,19,2,6,7.76,40.8,1,6.3,2,3,2,1,69.8,Low,1.2317460317460318
264,24,1,4,1.84,86.7,0,4.9,2,0,0,2,74.9,High,0.37551020408163266
265,24,0,4,4.21,59.0,1,5.8,2,4,2,2,50.5,Low,0.7258620689655173
266,21,0,5,0.92,96.5,1,5.5,1,3,0,0,67.6,High,0.16727272727272727
267,20,0,1,2.42,91.7,1,4.8,1,2,0,2,53.2,High,0.5041666666666667
268,19,2,1,6.81,92.9,1,9.7,0,4,2,0,85.2,High,0.7020618556701032
269,21,1,5,5.73,55.1,1,5.1,1,1,1,0,70.2,Low,1.123529411764706
270,21,0,5,4.9,87.8,1,7.4,2,1,2,0,65.9,High,0.6621621621621622
271,19,1,2,0.91,60.0,1,6.4,0,1,0,2,47.4,Low,0.1421875
272,17,1,1,6.81,66.8,1,7.3,0,1,2,1,82.8,Medium,0.9328767123287671
273,18,1,1,2.38,94.3,1,7.5,2,2,0,0,67.7,High,0.3173333333333333
274,24,2,2,4.28,83.2,0,7.1,2,0,0,2,65.8,High,0.6028169014084508
275,20,0,4,1.87,78.4,1,6.0,0,1,2,2,54.3,Medium,0.3116666666666667
276,20,2,2,4.17,47.7,1,6.0,1,3,2,2,49.9,Low,0.695
277,20,2,5,4.5,72.3,1,5.0,1,2,1,2,62.2,Medium,0.9
278,23,0,4,2.72,47.4,1,6.5,1,3,2,1,66.1,Low,0.4184615384615385
279,17,2,5,4.05,44.5,1,6.2,1,3,1,0,60.2,Low,0.6532258064516129
280,17,1,3,3.25,96.8,1,9.9,1,0,1,0,80.1,High,0.3282828282828283
281,19,2,6,5.58,75.5,1,4.6,0,0,2,2,76.3,Medium,1.2130434782608697
282,20,1,1,4.35,40.6,1,7.5,0,1,2,2,62.0,Low,0.58
283,22,0,3,7.02,68.1,0,9.9,1,4,1,2,93.8,Medium,0.709090909090909
284,20,2,2,0.4,57.2,1,9.6,0,2,1,0,42.3,Low,0.04166666666666667
285,20,2,5,0.21,49.2,0,8.2,0,0,0,2,56.4,Low,0.025609756097560978
286,24,1,3,1.51,89.1,0,6.4,1,1,1,2,52.6,High,0.2359375
287,18,2,1,0.95,49.2,1,8.4,0,1,2,1,43.2,Low,0.11309523809523808
288,21,1,5,4.21,50.0,1,9.6,2,0,0,1,60.5,Low,0.43854166666666666
289,21,2,6,1.6,54.0,1,7.3,2,0,1,1,41.0,Low,0.21917808219178084
290,20,0,2,0.13,82.7,1,6.1,2,3,0,1,22.1,High,0.021311475409836068
291,23,1,5,2.26,51.4,1,4.1,0,3,1,2,28.3,Low,0.551219512195122
292,19,2,5,4.07,59.3,1,7.0,1,3,1,2,52.4,Low,0.5814285714285715
293,24,2,0,5.71,94.1,1,4.6,1,1,0,2,84.3,High,1.241304347826087
294,19,1,4,3.51,73.9,1,5.9,2,0,0,2,60.8,Medium,0.5949152542372881
295,21,1,5,7.7,50.4,1,7.7,2,4,0,0,55.2,Low,1.0
296,21,1,3,1.6,91.6,1,5.7,0,1,1,1,59.7,High,0.2807017543859649
297,23,0,4,4.11,70.7,1,5.3,1,1,0,0,69.1,Medium,0.7754716981132076
298,20,0,2,2.03,90.1,0,7.5,2,2,1,2,57.0,High,0.27066666666666667
299,19,2,6,6.45,44.7,1,4.4,2,1,0,0,67.9,Low,1.4659090909090908
300,17,2,6,1.5,49.7,1,9.6,0,1,0,0,38.3,Low,0.15625
301,19,1,1,7.69,45.5,1,9.9,2,1,1,2,67.2,Low,0.7767676767676768
302,23,0,3,5.73,68.9,0,9.9,0,3,1,0,72.9,Medium,0.5787878787878789
303,17,2,1,4.45,63.2,1,4.1,1,0,2,1,74.2,Medium,1.0853658536585367
